Target_genes	Rbpj|Average	SRX4670704|BEko	SRX4670705|BEko	SRX4740104|Brain_pericytes	SRX4740105|Brain_pericytes	SRX140327|C2C12	SRX140328|C2C12	SRX140329|C2C12	SRX140330|C2C12	SRX140331|C2C12	SRX140332|C2C12	SRX140337|C2C12	SRX140338|C2C12	SRX140339|C2C12	SRX140340|C2C12	SRX140342|C2C12	SRX140343|C2C12	SRX262848|F9	SRX262849|F9	SRX297989|F9	SRX297990|F9	SRX070892|Leukemia,_Lymphoid	SRX070895|Leukemia,_Lymphoid	ERX1348322|Neural_progenitor_cells	SRX287018|Neural_tube	SRX287019|Neural_tube	SRX485442|Neural_tube	SRX702808|T-ALL	SRX702809|T-ALL	SRX266509|T29	SRX266510|T29	SRX5551015|Unclassified	SRX5551016|Unclassified	SRX5551019|Unclassified	SRX5551020|Unclassified	STRING
Neil1	88.882353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	1624	1303	0
Phf12	88.794118	289	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	0	112	0	138	0	0	0	0	0	0	0	0	0	967	1079	0
Tomm6	88.705882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	563	1004	0	0	0	0	0	0	0	0	0	0	635	814	0
Eapp	88.647059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	389	0	136	0	348	0	0	235	165	219	461	323	0	0	79	124	265	270	0
Chd1l	88.558824	122	203	352	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	444	205	295	0	0	0	0	203	0	0	131	0	289	516	0
Tmem65	88.529412	130	119	191	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	396	0	0	0	0	88	0	0	250	157	855	594	0
Tex14	88.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	414	0	0	0	241	124	0	154	103	167	251	381	0	0	0	0	555	619	0
Trim41	88.441176	542	289	222	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	232	0	0	0	0	0	0	0	138	159	636	536	0
Snrpc	88.147059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	816	0	0	0	0	0	0	0	0	0	175	194	889	923	0
Fam168a	87.852941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0	0	85	0	84	0	0	0	0	185	0	1087	1331	0
Tmx4	87.764706	354	292	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	460	0	0	0	0	0	0	0	0	0	818	919	0
Heatr6	87.588235	0	0	279	223	0	0	0	0	0	0	0	0	0	0	0	0	383	0	0	0	200	0	408	0	0	0	0	108	0	0	0	0	633	744	0
Shmt2	87.529412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318	495	0	0	0	0	0	0	0	0	0	0	1055	1108	0
Nolc1	86.823529	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	378	0	0	0	0	0	0	0	0	0	171	201	964	1108	0
Parp2	86.676471	188	144	133	111	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	250	115	0	117	0	78	0	0	0	0	807	881	0
Opa3	86.470588	268	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	0	0	0	0	112	0	0	0	0	1048	1090	0
Myl12a	86.352941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0	149	124	0	125	0	0	0	0	0	0	1257	1114	0
Zbtb22	85.647059	165	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	210	100	210	0	0	0	0	125	0	925	839	0
Mink1	85.235294	0	0	263	151	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	519	151	0	151	0	0	0	0	0	0	812	749	0
Pon2	85.029412	179	176	483	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	112	459	0	0	0	148	253	0	0	0	0	313	257	0
Gpr19	84.882353	81	0	182	135	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	459	0	394	0	125	0	0	0	0	0	0	0	638	671	0
Ifi35	84.500000	0	0	231	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1235	1117	0
Rad9a	84.441176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	556	0	146	0	0	0	0	188	0	191	0	0	0	0	0	0	857	933	0
Cdk12	84.411765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	489	101	157	0	0	0	0	0	0	0	0	0	0	0	124	116	942	941	0
Washc2	84.382353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	598	0	0	0	0	0	0	395	218	396	0	0	0	0	0	0	646	616	0
Cux2	84.352941	0	0	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302	0	907	0	0	0	0	213	0	0	161	0	535	448	0
Gm3448	84.176471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	546	229	91	0	0	0	0	296	0	0	262	255	434	577	0
Gm3417	84.176471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	546	229	91	0	0	0	0	296	0	0	262	255	434	577	0
Ddx39b	83.882353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	165	0	461	298	289	297	0	0	0	0	0	0	609	506	0
Rpl23a	83.705882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1513	1333	0
Pmm1	83.705882	157	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	166	0	299	256	196	253	0	0	0	0	0	0	491	615	0
Ints9	83.676471	176	0	109	119	0	0	0	0	0	0	0	0	0	0	0	0	365	0	101	0	125	0	279	138	69	138	0	0	0	0	0	0	617	609	0
Hmbox1	83.676471	176	0	109	119	0	0	0	0	0	0	0	0	0	0	0	0	365	0	101	0	125	0	279	138	69	138	0	0	0	0	0	0	617	609	0
Cd300lf	83.676471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	181	1180	1240	0
Lamp1	83.441176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	358	0	0	0	0	0	0	527	201	529	0	0	0	0	127	0	528	567	0
Atg14	83.088235	231	164	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274	154	0	151	0	0	0	0	100	133	767	693	0
Man1b1	82.676471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	352	236	0	0	0	0	0	0	0	0	249	206	809	959	0
Zfp974	82.500000	287	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	377	288	285	285	0	0	0	0	92	0	309	445	0
Supt4a	82.441176	248	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	0	0	0	0	0	0	0	126	106	1048	922	0
Tjp3	82.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	132	0	0	220	0	1157	1030	0
Sart1	81.941176	223	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	102	0	0	0	0	0	0	0	1065	1095	0
Nup153	81.705882	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	1094	328	0	0	0	0	0	0	0	0	154	190	412	383	0
Fbxo46	81.676471	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	106	0	0	0	0	0	0	1214	1221	0
Kdm5a	81.529412	0	0	299	188	0	0	0	0	0	0	0	0	0	0	0	0	548	0	0	0	133	0	393	134	0	134	0	0	0	0	0	0	523	420	0
Lmln	81.500000	0	0	151	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	423	0	0	0	0	0	0	0	91	0	994	952	0
Rhog	81.029412	200	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	120	0	0	0	0	0	0	0	258	277	794	912	0
Mrpl24	81.029412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	1361	1306	0
Trim37	80.882353	419	278	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238	0	0	0	0	0	0	0	0	0	956	785	0
Zmym4	80.852941	303	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	214	202	259	0	137	0	0	0	0	0	0	0	627	559	0
Rpl9	80.676471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	628	0	0	0	0	0	0	0	0	0	272	260	776	807	0
Lias	80.676471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	628	0	0	0	0	0	0	0	0	0	272	260	776	807	0
